county_code,county_name,constituency_code,constituency_name,ward_code,ward_name,ward_registered_voters_2022,allocated_polling_centers,allocated_polling_stations,avg_voters_per_center_est,avg_voters_per_station_est
003,KILIFI,011,KILIFI NORTH,0051,TEZO,14830,16,31,926.88,478.39
003,KILIFI,011,KILIFI NORTH,0052,SOKONI,23955,26,49,921.35,488.88
003,KILIFI,011,KILIFI NORTH,0053,KIBARANI,15655,17,32,920.88,489.22
003,KILIFI,011,KILIFI NORTH,0054,DABASO,13717,15,28,914.47,489.89
003,KILIFI,011,KILIFI NORTH,0055,MATSANGONI,15168,17,32,892.24,474.0
003,KILIFI,011,KILIFI NORTH,0056,WATAMU,15341,17,32,902.41,479.41
003,KILIFI,011,KILIFI NORTH,0057,MNARANI,18076,20,38,903.8,475.68
003,KILIFI,012,KILIFI SOUTH,0058,JUNJU,15747,17,32,926.29,492.09
003,KILIFI,012,KILIFI SOUTH,0059,MWARAKAYA,12714,14,26,908.14,489.0
003,KILIFI,012,KILIFI SOUTH,0060,SHIMO LA TEWA,32052,35,66,915.77,485.64
003,KILIFI,012,KILIFI SOUTH,0061,CHASIMBA,14090,16,30,880.62,469.67
003,KILIFI,012,KILIFI SOUTH,0062,MTEPENI,23093,25,48,923.72,481.1
003,KILIFI,013,KALOLENI,0063,MARIAKANI,21332,23,44,927.48,484.82
003,KILIFI,013,KALOLENI,0064,KAYAFUNGO,14897,17,32,876.29,465.53
003,KILIFI,013,KALOLENI,0065,KALOLENI,25995,28,53,928.39,490.47
003,KILIFI,013,KALOLENI,0066,MWANAMWINGA,10785,12,23,898.75,468.91
003,KILIFI,014,RABAI,0067,MWAWESA,8793,10,19,879.3,462.79
003,KILIFI,014,RABAI,0068,RURUMA,12058,14,26,861.29,463.77
003,KILIFI,014,RABAI,0069,KAMBE/RIBE,11119,13,24,855.31,463.29
003,KILIFI,014,RABAI,0070,RABAI/KISURUTINI,27195,29,56,937.76,485.62
003,KILIFI,015,GANZE,0071,GANZE,16586,18,34,921.44,487.82
003,KILIFI,015,GANZE,0072,BAMBA,18599,20,38,929.95,489.45
003,KILIFI,015,GANZE,0073,JARIBUNI,12782,14,27,913.0,473.41
003,KILIFI,015,GANZE,0074,SOKOKE,19290,21,40,918.57,482.25
003,KILIFI,016,MALINDI,0075,JILORE,10464,12,22,872.0,475.64
003,KILIFI,016,MALINDI,0076,KAKUYUNI,8750,10,19,875.0,460.53
003,KILIFI,016,MALINDI,0077,GANDA,18566,20,38,928.3,488.58
003,KILIFI,016,MALINDI,0078,MALINDI TOWN,30570,33,63,926.36,485.24
003,KILIFI,016,MALINDI,0079,SHELLA,26255,28,54,937.68,486.2
003,KILIFI,017,MAGARINI,0080,MARAFA,9026,10,19,902.6,475.05
003,KILIFI,017,MAGARINI,0081,MAGARINI,17099,19,36,899.95,474.97
003,KILIFI,017,MAGARINI,0082,GONGONI,17685,19,36,930.79,491.25
003,KILIFI,017,MAGARINI,0083,ADU,16263,18,34,903.5,478.32
003,KILIFI,017,MAGARINI,0084,GARASHI,10466,12,22,872.17,475.73
003,KILIFI,017,MAGARINI,0085,SABAKI,9589,11,20,871.73,479.45
047,NAIROBI CITY,274,WESTLANDS,1366,KITISURU,29237,32,61,913.66,479.3
047,NAIROBI CITY,274,WESTLANDS,1367,PARKLANDS/HIGHRIDGE,37144,40,76,928.6,488.74
047,NAIROBI CITY,274,WESTLANDS,1368,KARURA,29548,32,61,923.38,484.39
047,NAIROBI CITY,274,WESTLANDS,1369,KANGEMI,32551,35,67,930.03,485.84
047,NAIROBI CITY,274,WESTLANDS,1370,MOUNTAIN VIEW,32259,35,67,921.69,481.48
047,NAIROBI CITY,275,DAGORETTI NORTH,1371,KILIMANI,38927,42,80,926.83,486.59
047,NAIROBI CITY,275,DAGORETTI NORTH,1372,KAWANGWARE,28468,31,59,918.32,482.51
047,NAIROBI CITY,275,DAGORETTI NORTH,1373,GATINA,34831,37,71,941.38,490.58
047,NAIROBI CITY,275,DAGORETTI NORTH,1374,KILELESHWA,26343,29,55,908.38,478.96
047,NAIROBI CITY,275,DAGORETTI NORTH,1375,KABIRO,29090,31,60,938.39,484.83
047,NAIROBI CITY,276,DAGORETTI SOUTH,1376,MUTU-INI,13484,15,28,898.93,481.57
047,NAIROBI CITY,276,DAGORETTI SOUTH,1377,NGANDO,24892,27,51,921.93,488.08
047,NAIROBI CITY,276,DAGORETTI SOUTH,1378,RIRUTA,37766,40,77,944.15,490.47
047,NAIROBI CITY,276,DAGORETTI SOUTH,1379,UTHIRU/RUTHIMITU,19657,22,41,893.5,479.44
047,NAIROBI CITY,276,DAGORETTI SOUTH,1380,WAITHAKA,19131,21,40,911.0,478.28
047,NAIROBI CITY,277,LANGATA,1381,KAREN,34450,37,71,931.08,485.21
047,NAIROBI CITY,277,LANGATA,1382,NAIROBI WEST,18386,20,38,919.3,483.84
047,NAIROBI CITY,277,LANGATA,1383,MUGUMU-INI,37864,41,78,923.51,485.44
047,NAIROBI CITY,277,LANGATA,1384,SOUTH C,33149,36,68,920.81,487.49
047,NAIROBI CITY,277,LANGATA,1385,NYAYO HIGHRISE,21800,24,45,908.33,484.44
