county_code,county_name,constituency_code,constituency_name,ward_code,ward_name,ward_registered_voters_2022,allocated_polling_centers,allocated_polling_stations,avg_voters_per_center_est,avg_voters_per_station_est
018,MURANG'A,085,KAHURO,0415,ELDER,16586,18,34,921.44,487.82
018,MURANG'A,085,KAHURO,0416,TARBAS,18599,20,38,929.95,489.45
018,MURANG'A,085,KAHURO,0417,GRIFTU,12782,14,27,913.0,473.41
018,MURANG'A,085,KAHURO,0418,HADA,19290,21,40,918.57,482.25
018,MURANG'A,085,KAHURO,0419,ELDER,10464,12,22,872.0,475.64
018,MURANG'A,086,GATANGA,0420,ELDER,8750,10,19,875.0,460.53
018,MURANG'A,086,GATANGA,0421,TARBAS,18566,20,38,928.3,488.58
018,MURANG'A,086,GATANGA,0422,GRIFTU,30570,33,63,926.36,485.24
018,MURANG'A,086,GATANGA,0423,HADA,26255,28,54,937.68,486.2
018,MURANG'A,086,GATANGA,0424,ELDER,9026,10,19,902.6,475.05
018,MURANG'A,087,KANGEMA,0425,ELDER,17099,19,36,899.95,474.97
018,MURANG'A,087,KANGEMA,0426,TARBAS,17685,19,36,930.79,491.25
018,MURANG'A,087,KANGEMA,0427,GRIFTU,16263,18,34,903.5,478.32
018,MURANG'A,087,KANGEMA,0428,HADA,10466,12,22,872.17,475.73
018,MURANG'A,087,KANGEMA,0429,ELDER,9589,11,20,871.73,479.45
018,MURANG'A,088,MATHIOYA,0430,ELDER,29237,32,61,913.66,479.3
018,MURANG'A,088,MATHIOYA,0431,TARBAS,37144,40,76,928.6,488.74
018,MURANG'A,088,MATHIOYA,0432,GRIFTU,29548,32,61,923.38,484.39
018,MURANG'A,088,MATHIOYA,0433,HADA,32551,35,67,930.03,485.84
018,MURANG'A,088,MATHIOYA,0434,ELDER,32259,35,67,921.69,481.48
018,MURANG'A,089,KIGUMO,0435,ELDER,38927,42,80,926.83,486.59
018,MURANG'A,089,KIGUMO,0436,TARBAS,28468,31,59,918.32,482.51
018,MURANG'A,089,KIGUMO,0437,GRIFTU,34831,37,71,941.38,490.58
018,MURANG'A,089,KIGUMO,0438,HADA,26343,29,55,908.38,478.96
018,MURANG'A,089,KIGUMO,0439,ELDER,29090,31,60,938.39,484.83
018,MURANG'A,090,KANDARA,0440,ELDER,13484,15,28,898.93,481.57
018,MURANG'A,090,KANDARA,0441,TARBAS,24892,27,51,921.93,488.08
018,MURANG'A,090,KANDARA,0442,GRIFTU,37766,40,77,944.15,490.47
018,MURANG'A,090,KANDARA,0443,HADA,19657,22,41,893.5,479.44
018,MURANG'A,090,KANDARA,0444,ELDER,19131,21,40,911.0,478.28
018,MURANG'A,091,MARAGWA,0445,ELDER,34450,37,71,931.08,485.21
018,MURANG'A,091,MARAGWA,0446,TARBAS,18386,20,38,919.3,483.84
018,MURANG'A,091,MARAGWA,0447,GRIFTU,37864,41,78,923.51,485.44
018,MURANG'A,091,MARAGWA,0448,HADA,33149,36,68,920.81,487.49
018,MURANG'A,091,MARAGWA,0449,ELDER,21800,24,45,908.33,484.44
018,MURANG'A,092,MAKUYU,0450,ELDER,24243,26,50,932.42,484.86
018,MURANG'A,092,MAKUYU,0451,TARBAS,18048,20,38,902.4,474.95
