county_code,county_name,constituency_code,constituency_name,ward_code,ward_name,ward_registered_voters_2022,allocated_polling_centers,allocated_polling_stations,avg_voters_per_center_est,avg_voters_per_station_est
038,KISII,201,BONCHARI,1001,ELDER,18076,20,38,903.8,475.68
038,KISII,201,BONCHARI,1002,TARBAS,15747,17,32,926.29,492.09
038,KISII,201,BONCHARI,1003,GRIFTU,12714,14,26,908.14,489.0
038,KISII,201,BONCHARI,1004,HADA,32052,35,66,915.77,485.64
038,KISII,201,BONCHARI,1005,ELDER,14090,16,30,880.62,469.67
038,KISII,202,SOUTH MUGIRANGO,1006,ELDER,23093,25,48,923.72,481.1
038,KISII,202,SOUTH MUGIRANGO,1007,TARBAS,21332,23,44,927.48,484.82
038,KISII,202,SOUTH MUGIRANGO,1008,GRIFTU,14897,17,32,876.29,465.53
038,KISII,202,SOUTH MUGIRANGO,1009,HADA,25995,28,53,928.39,490.47
038,KISII,202,SOUTH MUGIRANGO,1010,ELDER,10785,12,23,898.75,468.91
038,KISII,203,RICHARD,1011,ELDER,8793,10,19,879.3,462.79
038,KISII,203,RICHARD,1012,TARBAS,12058,14,26,861.29,463.77
038,KISII,203,RICHARD,1013,GRIFTU,11119,13,24,855.31,463.29
038,KISII,203,RICHARD,1014,HADA,27195,29,56,937.76,485.62
038,KISII,203,RICHARD,1015,ELDER,16586,18,34,921.44,487.82
038,KISII,204,BOBASI,1016,ELDER,18599,20,38,929.95,489.45
038,KISII,204,BOBASI,1017,TARBAS,12782,14,27,913.0,473.41
038,KISII,204,BOBASI,1018,GRIFTU,19290,21,40,918.57,482.25
038,KISII,204,BOBASI,1019,HADA,10464,12,22,872.0,475.64
038,KISII,204,BOBASI,1020,ELDER,8750,10,19,875.0,460.53
038,KISII,205,NYARIBARI CHACHE,1021,ELDER,18566,20,38,928.3,488.58
038,KISII,205,NYARIBARI CHACHE,1022,TARBAS,30570,33,63,926.36,485.24
038,KISII,205,NYARIBARI CHACHE,1023,GRIFTU,26255,28,54,937.68,486.2
038,KISII,205,NYARIBARI CHACHE,1024,HADA,9026,10,19,902.6,475.05
038,KISII,205,NYARIBARI CHACHE,1025,ELDER,17099,19,36,899.95,474.97
038,KISII,206,NYARIBARI MASABA,1026,ELDER,17685,19,36,930.79,491.25
