county_code,county_name,constituency_code,constituency_name,ward_code,ward_name,ward_registered_voters_2022,allocated_polling_centers,allocated_polling_stations,avg_voters_per_center_est,avg_voters_per_station_est
001,MOMBASA,001,CHANGAMWE,0001,PORT REITZ,17817,20,37,890.85,481.54
001,MOMBASA,001,CHANGAMWE,0002,KIPEVU,16132,18,34,896.22,474.47
001,MOMBASA,001,CHANGAMWE,0003,AIRPORT,18557,20,38,927.85,488.34
001,MOMBASA,001,CHANGAMWE,0004,CHANGAMWE,18182,20,38,909.1,478.47
001,MOMBASA,001,CHANGAMWE,0005,CHAANI,22873,25,47,914.92,486.66
001,MOMBASA,002,JOMVU,0006,JOMVU KUU,24243,26,50,932.42,484.86
001,MOMBASA,002,JOMVU,0007,MIRITINI,18048,20,38,902.4,474.95
001,MOMBASA,002,JOMVU,0008,MIKINDANI,32794,35,67,936.97,489.46
001,MOMBASA,003,KISAUNI,0009,MJAMBERE,22692,25,47,907.68,482.81
001,MOMBASA,003,KISAUNI,0010,JUNDA,25602,28,53,914.36,483.06
001,MOMBASA,003,KISAUNI,0011,BAMBURI,20470,22,42,930.45,487.38
001,MOMBASA,003,KISAUNI,0012,MWAKIRUNGE,6423,8,14,802.88,458.79
001,MOMBASA,003,KISAUNI,0013,MTOPANGA,19474,21,40,927.33,486.85
001,MOMBASA,003,KISAUNI,0014,MAGOGONI,15105,17,32,888.53,472.03
001,MOMBASA,003,KISAUNI,0015,SHANZU,25510,28,53,911.07,481.32
001,MOMBASA,004,NYALI,0016,FRERE TOWN,24849,27,51,920.33,487.24
001,MOMBASA,004,NYALI,0017,ZIWA LA NG'OMBE,23296,25,48,931.84,485.33
001,MOMBASA,004,NYALI,0018,MKOMANI,24154,26,50,929.0,483.08
001,MOMBASA,004,NYALI,0019,KONGOWEA,28846,31,59,930.52,488.92
001,MOMBASA,004,NYALI,0020,KADZANDANI,23108,25,48,924.32,481.42
001,MOMBASA,005,LIKONI,0021,MTONGWE,13937,16,30,871.06,464.57
001,MOMBASA,005,LIKONI,0022,SHIKA ADABU,15437,17,32,908.06,482.41
001,MOMBASA,005,LIKONI,0023,BOFU,18188,20,38,909.4,478.63
001,MOMBASA,005,LIKONI,0024,LIKONI,13273,15,28,884.87,474.04
001,MOMBASA,005,LIKONI,0025,TIMBWANI,33929,36,69,942.47,491.72
001,MOMBASA,006,MVITA,0026,MJI WA KALE/MAKADARA,22341,24,46,930.88,485.67
001,MOMBASA,006,MVITA,0027,TUDOR,22926,25,47,917.04,487.79
001,MOMBASA,006,MVITA,0028,TONONOKA,23379,25,48,935.16,487.06
001,MOMBASA,006,MVITA,0029,SHIMANZI/GANJONI,18556,20,38,927.8,488.32
001,MOMBASA,006,MVITA,0030,MAJENGO,31772,34,65,934.47,488.8
002,KWALE,007,MSAMBWENI,0031,GOMBATO BONGWE,20551,22,42,934.14,489.31
002,KWALE,007,MSAMBWENI,0032,UKUNDA,24331,26,50,935.81,486.62
002,KWALE,007,MSAMBWENI,0033,KINONDO,13463,15,28,897.53,480.82
002,KWALE,007,MSAMBWENI,0034,RAMISI,23916,26,49,919.85,488.08
002,KWALE,008,LUNGALUNGA,0035,PONGWE/KIKONENI,18833,21,39,896.81,482.9
002,KWALE,008,LUNGALUNGA,0036,DZOMBO,14688,16,30,918.0,489.6
002,KWALE,008,LUNGALUNGA,0037,MWERENI,15589,17,32,917.0,487.16
002,KWALE,008,LUNGALUNGA,0038,VANGA,15744,17,32,926.12,492.0
002,KWALE,009,MATUGA,0039,TSIMBA GOLINI,20453,22,42,929.68,486.98
002,KWALE,009,MATUGA,0040,WAA,20681,23,43,899.17,480.95
002,KWALE,009,MATUGA,0041,TIWI,11016,13,24,847.38,459.0
002,KWALE,009,MATUGA,0042,KUBO SOUTH,12087,14,26,863.36,464.88
002,KWALE,009,MATUGA,0043,MKONGANI,18778,21,39,894.19,481.49
002,KWALE,010,KINANGO,0044,NDAVAYA,12743,14,26,910.21,490.12
002,KWALE,010,KINANGO,0045,PUMA,9844,11,21,894.91,468.76
002,KWALE,010,KINANGO,0046,KINANGO,15597,17,32,917.47,487.41
002,KWALE,010,KINANGO,0047,MACKINNON ROAD,14214,16,30,888.38,473.8
