county_code,county_name,constituency_code,constituency_name,ward_code,ward_name,ward_registered_voters_2022,allocated_polling_centers,allocated_polling_stations,avg_voters_per_center_est,avg_voters_per_station_est
041,LAIKIPIA,217,LAIKIPIA NORTH,1081,ELDER,15589,17,32,917.0,487.16
041,LAIKIPIA,217,LAIKIPIA NORTH,1082,TARBAS,15744,17,32,926.12,492.0
041,LAIKIPIA,217,LAIKIPIA NORTH,1083,GRIFTU,20453,22,42,929.68,486.98
041,LAIKIPIA,217,LAIKIPIA NORTH,1084,HADA,20681,23,43,899.17,480.95
041,LAIKIPIA,217,LAIKIPIA NORTH,1085,ELDER,11016,13,24,847.38,459.0
041,LAIKIPIA,218,LAIKIPIA EAST,1086,ELDER,12087,14,26,863.36,464.88
041,LAIKIPIA,218,LAIKIPIA EAST,1087,TARBAS,18778,21,39,894.19,481.49
041,LAIKIPIA,218,LAIKIPIA EAST,1088,GRIFTU,12743,14,26,910.21,490.12
041,LAIKIPIA,218,LAIKIPIA EAST,1089,HADA,9844,11,21,894.91,468.76
041,LAIKIPIA,218,LAIKIPIA EAST,1090,ELDER,15597,17,32,917.47,487.41
041,LAIKIPIA,219,LAIKIPIA WEST,1091,ELDER,14214,16,30,888.38,473.8
041,LAIKIPIA,219,LAIKIPIA WEST,1092,TARBAS,15037,17,32,884.53,469.91
041,LAIKIPIA,219,LAIKIPIA WEST,1093,GRIFTU,16243,18,34,902.39,477.74
041,LAIKIPIA,219,LAIKIPIA WEST,1094,HADA,14445,16,30,902.81,481.5
041,LAIKIPIA,219,LAIKIPIA WEST,1095,ELDER,14830,16,31,926.88,478.39
041,LAIKIPIA,220,SAMBURU,1096,ELDER,23955,26,49,921.35,488.88
041,LAIKIPIA,220,SAMBURU,1097,TARBAS,15655,17,32,920.88,489.22
041,LAIKIPIA,220,SAMBURU,1098,GRIFTU,13717,15,28,914.47,489.89
041,LAIKIPIA,220,SAMBURU,1099,HADA,15168,17,32,892.24,474.0
041,LAIKIPIA,220,SAMBURU,1100,ELDER,15341,17,32,902.41,479.41
042,NYERI,221,TENWEK,1101,ELDER,18076,20,38,903.8,475.68
042,NYERI,221,TENWEK,1102,TARBAS,15747,17,32,926.29,492.09
042,NYERI,221,TENWEK,1103,GRIFTU,12714,14,26,908.14,489.0
042,NYERI,221,TENWEK,1104,HADA,32052,35,66,915.77,485.64
042,NYERI,221,TENWEK,1105,ELDER,14090,16,30,880.62,469.67
042,NYERI,222,KIRINYAGA,1106,ELDER,23093,25,48,923.72,481.1
042,NYERI,222,KIRINYAGA,1107,TARBAS,21332,23,44,927.48,484.82
042,NYERI,222,KIRINYAGA,1108,GRIFTU,14897,17,32,876.29,465.53
042,NYERI,222,KIRINYAGA,1109,HADA,25995,28,53,928.39,490.47
042,NYERI,222,KIRINYAGA,1110,ELDER,10785,12,23,898.75,468.91
042,NYERI,223,MATHIRA,1111,ELDER,8793,10,19,879.3,462.79
042,NYERI,223,MATHIRA,1112,TARBAS,12058,14,26,861.29,463.77
042,NYERI,223,MATHIRA,1113,GRIFTU,11119,13,24,855.31,463.29
042,NYERI,223,MATHIRA,1114,HADA,27195,29,56,937.76,485.62
042,NYERI,223,MATHIRA,1115,ELDER,16586,18,34,921.44,487.82
042,NYERI,224,Othaya,1116,ELDER,18599,20,38,929.95,489.45
042,NYERI,224,Othaya,1117,TARBAS,12782,14,27,913.0,473.41
042,NYERI,224,Othaya,1118,GRIFTU,19290,21,40,918.57,482.25
042,NYERI,224,Othaya,1119,HADA,10464,12,22,872.0,475.64
042,NYERI,224,Othaya,1120,ELDER,8750,10,19,875.0,460.53
042,NYERI,225,MUKURWEINI,1121,ELDER,18566,20,38,928.3,488.58
042,NYERI,225,MUKURWEINI,1122,TARBAS,30570,33,63,926.36,485.24
042,NYERI,225,MUKURWEINI,1123,GRIFTU,26255,28,54,937.68,486.2
042,NYERI,225,MUKURWEINI,1124,HADA,9026,10,19,902.6,475.05
042,NYERI,225,MUKURWEINI,1125,ELDER,17099,19,36,899.95,474.97
042,NYERI,226,NYERI TOWN,1126,ELDER,17685,19,36,930.79,491.25
042,NYERI,226,NYERI TOWN,1127,TARBAS,16263,18,34,903.5,478.32
042,NYERI,226,NYERI TOWN,1128,GRIFTU,10466,12,22,872.17,475.73
042,NYERI,226,NYERI TOWN,1129,HADA,9589,11,20,871.73,479.45
042,NYERI,226,NYERI TOWN,1130,ELDER,29237,32,61,913.66,479.3
043,KIRINYAGA,227,MWEA,1131,ELDER,37144,40,76,928.6,488.74
043,KIRINYAGA,227,MWEA,1132,TARBAS,29548,32,61,923.38,484.39
043,KIRINYAGA,227,MWEA,1133,GRIFTU,32551,35,67,930.03,485.84
043,KIRINYAGA,227,MWEA,1134,HADA,32259,35,67,921.69,481.48
043,KIRINYAGA,227,MWEA,1135,ELDER,38927,42,80,926.83,486.59
043,KIRINYAGA,228,GICHUGU,1136,ELDER,28468,31,59,918.32,482.51
043,KIRINYAGA,228,GICHUGU,1137,TARBAS,34831,37,71,941.38,490.58
043,KIRINYAGA,228,GICHUGU,1138,GRIFTU,26343,29,55,908.38,478.96
043,KIRINYAGA,228,GICHUGU,1139,HADA,29090,31,60,938.39,484.83
043,KIRINYAGA,228,GICHUGU,1140,ELDER,13484,15,28,898.93,481.57
043,KIRINYAGA,229,NGIRI,1141,ELDER,24892,27,51,921.93,488.08
043,KIRINYAGA,229,NGIRI,1142,TARBAS,37766,40,77,944.15,490.47
043,KIRINYAGA,229,NGIRI,1143,GRIFTU,19657,22,41,893.5,479.44
043,KIRINYAGA,229,NGIRI,1144,HADA,19131,21,40,911.0,478.28
043,KIRINYAGA,229,NGIRI,1145,ELDER,34450,37,71,931.08,485.21
043,KIRINYAGA,230,KIRINYAGA CENTRAL,1146,ELDER,18386,20,38,919.3,483.84
043,KIRINYAGA,230,KIRINYAGA CENTRAL,1147,TARBAS,37864,41,78,923.51,485.44
043,KIRINYAGA,230,KIRINYAGA CENTRAL,1148,GRIFTU,33149,36,68,920.81,487.49
043,KIRINYAGA,230,KIRINYAGA CENTRAL,1149,HADA,21800,24,45,908.33,484.44
043,KIRINYAGA,230,KIRINYAGA CENTRAL,1150,ELDER,24243,26,50,932.42,484.86
044,BARINGO,231,TIATI,1151,ELDER,18048,20,38,902.4,474.95
044,BARINGO,231,TIATI,1152,TARBAS,32794,35,67,936.97,489.46
