county_code,county_name,constituency_code,constituency_name,ward_code,ward_name,ward_registered_voters_2022,allocated_polling_centers,allocated_polling_stations,avg_voters_per_center_est,avg_voters_per_station_est
033,VIHIGA,171,VIHIGA,0851,ELDER,18048,20,38,902.4,474.95
033,VIHIGA,171,VIHIGA,0852,TARBAS,32794,35,67,936.97,489.46
033,VIHIGA,171,VIHIGA,0853,GRIFTU,22692,25,47,907.68,482.81
033,VIHIGA,171,VIHIGA,0854,HADA,25602,28,53,914.36,483.06
033,VIHIGA,171,VIHIGA,0855,ELDER,20470,22,42,930.45,487.38
033,VIHIGA,172,SABATIA,0856,ELDER,6423,8,14,802.88,458.79
033,VIHIGA,172,SABATIA,0857,TARBAS,19474,21,40,927.33,486.85
033,VIHIGA,172,SABATIA,0858,GRIFTU,15105,17,32,888.53,472.03
033,VIHIGA,172,SABATIA,0859,HADA,25510,28,53,911.07,481.32
033,VIHIGA,172,SABATIA,0860,ELDER,24849,27,51,920.33,487.24
033,VIHIGA,173,HAMISI,0861,ELDER,23296,25,48,931.84,485.33
033,VIHIGA,173,HAMISI,0862,TARBAS,24154,26,50,929.0,483.08
033,VIHIGA,173,HAMISI,0863,GRIFTU,28846,31,59,930.52,488.92
033,VIHIGA,173,HAMISI,0864,HADA,23108,25,48,924.32,481.42
033,VIHIGA,173,HAMISI,0865,ELDER,13937,16,30,871.06,464.57
033,VIHIGA,174,LUANDA,0866,ELDER,15437,17,32,908.06,482.41
033,VIHIGA,174,LUANDA,0867,TARBAS,18188,20,38,909.4,478.63
033,VIHIGA,174,LUANDA,0868,GRIFTU,13273,15,28,884.87,474.04
033,VIHIGA,174,LUANDA,0869,HADA,33929,36,69,942.47,491.72
033,VIHIGA,174,LUANDA,0870,ELDER,22341,24,46,930.88,485.67
033,VIHIGA,175,MUMIAS,0871,ELDER,22926,25,47,917.04,487.79
033,VIHIGA,175,MUMIAS,0872,TARBAS,23379,25,48,935.16,487.06
033,VIHIGA,175,MUMIAS,0873,GRIFTU,18556,20,38,927.8,488.32
033,VIHIGA,175,MUMIAS,0874,HADA,31772,34,65,934.47,488.8
033,VIHIGA,175,MUMIAS,0875,ELDER,20551,22,42,934.14,489.31
034,SIAYA,176,BONDO,0876,ELDER,24331,26,50,935.81,486.62
034,SIAYA,176,BONDO,0877,TARBAS,13463,15,28,897.53,480.82
034,SIAYA,176,BONDO,0878,GRIFTU,23916,26,49,919.85,488.08
034,SIAYA,176,BONDO,0879,HADA,18833,21,39,896.81,482.9
034,SIAYA,176,BONDO,0880,ELDER,14688,16,30,918.0,489.6
034,SIAYA,177,RARIEDA,0881,ELDER,15589,17,32,917.0,487.16
034,SIAYA,177,RARIEDA,0882,TARBAS,15744,17,32,926.12,492.0
034,SIAYA,177,RARIEDA,0883,GRIFTU,20453,22,42,929.68,486.98
034,SIAYA,177,RARIEDA,0884,HADA,20681,23,43,899.17,480.95
034,SIAYA,177,RARIEDA,0885,ELDER,11016,13,24,847.38,459.0
034,SIAYA,178,GEM,0886,ELDER,12087,14,26,863.36,464.88
034,SIAYA,178,GEM,0887,TARBAS,18778,21,39,894.19,481.49
034,SIAYA,178,GEM,0888,GRIFTU,12743,14,26,910.21,490.12
034,SIAYA,178,GEM,0889,HADA,9844,11,21,894.91,468.76
034,SIAYA,178,GEM,0890,ELDER,15597,17,32,917.47,487.41
034,SIAYA,179,UGENYA,0891,ELDER,14214,16,30,888.38,473.8
034,SIAYA,179,UGENYA,0892,TARBAS,15037,17,32,884.53,469.91
034,SIAYA,179,UGENYA,0893,GRIFTU,16243,18,34,902.39,477.74
034,SIAYA,179,UGENYA,0894,HADA,14445,16,30,902.81,481.5
034,SIAYA,179,UGENYA,0895,ELDER,14830,16,31,926.88,478.39
034,SIAYA,180,ALERE,0896,ELDER,23955,26,49,921.35,488.88
034,SIAYA,180,ALERE,0897,TARBAS,15655,17,32,920.88,489.22
034,SIAYA,180,ALERE,0898,GRIFTU,13717,15,28,914.47,489.89
034,SIAYA,180,ALERE,0899,HADA,15168,17,32,892.24,474.0
034,SIAYA,180,ALERE,0900,ELDER,15341,17,32,902.41,479.41
035,KISUMU,181,KISUMU WEST,0901,ELDER,18076,20,38,903.8,475.68
035,KISUMU,181,KISUMU WEST,0902,TARBAS,15747,17,32,926.29,492.09
035,KISUMU,181,KISUMU WEST,0903,GRIFTU,12714,14,26,908.14,489.0
035,KISUMU,181,KISUMU WEST,0904,HADA,32052,35,66,915.77,485.64
035,KISUMU,181,KISUMU WEST,0905,ELDER,14090,16,30,880.62,469.67
035,KISUMU,182,KISUMU EAST,0906,ELDER,23093,25,48,923.72,481.1
035,KISUMU,182,KISUMU EAST,0907,TARBAS,21332,23,44,927.48,484.82
035,KISUMU,182,KISUMU EAST,0908,GRIFTU,14897,17,32,876.29,465.53
035,KISUMU,182,KISUMU EAST,0909,HADA,25995,28,53,928.39,490.47
035,KISUMU,182,KISUMU EAST,0910,ELDER,10785,12,23,898.75,468.91
035,KISUMU,183,NDHIWA,0911,ELDER,8793,10,19,879.3,462.79
035,KISUMU,183,NDHIWA,0912,TARBAS,12058,14,26,861.29,463.77
035,KISUMU,183,NDHIWA,0913,GRIFTU,11119,13,24,855.31,463.29
035,KISUMU,183,NDHIWA,0914,HADA,27195,29,56,937.76,485.62
035,KISUMU,183,NDHIWA,0915,ELDER,16586,18,34,921.44,487.82
035,KISUMU,184,MTWARA,0916,ELDER,18599,20,38,929.95,489.45
035,KISUMU,184,MTWARA,0917,TARBAS,12782,14,27,913.0,473.41
