county_code,county_name,constituency_code,constituency_name,ward_code,ward_name,ward_registered_voters_2022,allocated_polling_centers,allocated_polling_stations,avg_voters_per_center_est,avg_voters_per_station_est
036,HOMA BAY,187,KARACHUONYO,0931,ELDER,37144,40,76,928.6,488.74
036,HOMA BAY,187,KARACHUONYO,0932,TARBAS,29548,32,61,923.38,484.39
036,HOMA BAY,187,KARACHUONYO,0933,GRIFTU,32551,35,67,930.03,485.84
036,HOMA BAY,187,KARACHUONYO,0934,HADA,32259,35,67,921.69,481.48
036,HOMA BAY,187,KARACHUONYO,0935,ELDER,38927,42,80,926.83,486.59
036,HOMA BAY,188,KASIPUL KABONDO,0936,ELDER,28468,31,59,918.32,482.51
036,HOMA BAY,188,KASIPUL KABONDO,0937,TARBAS,34831,37,71,941.38,490.58
036,HOMA BAY,188,KASIPUL KABONDO,0938,GRIFTU,26343,29,55,908.38,478.96
036,HOMA BAY,188,KASIPUL KABONDO,0939,HADA,29090,31,60,938.39,484.83
036,HOMA BAY,188,KASIPUL KABONDO,0940,ELDER,13484,15,28,898.93,481.57
036,HOMA BAY,189,RANGWE,0941,ELDER,24892,27,51,921.93,488.08
036,HOMA BAY,189,RANGWE,0942,TARBAS,37766,40,77,944.15,490.47
036,HOMA BAY,189,RANGWE,0943,GRIFTU,19657,22,41,893.5,479.44
036,HOMA BAY,189,RANGWE,0944,HADA,19131,21,40,911.0,478.28
036,HOMA BAY,189,RANGWE,0945,ELDER,34450,37,71,931.08,485.21
036,HOMA BAY,190,KABONDO KASIPUL,0946,ELDER,18386,20,38,919.3,483.84
036,HOMA BAY,190,KABONDO KASIPUL,0947,TARBAS,37864,41,78,923.51,485.44
036,HOMA BAY,190,KABONDO KASIPUL,0948,GRIFTU,33149,36,68,920.81,487.49
036,HOMA BAY,190,KABONDO KASIPUL,0949,HADA,21800,24,45,908.33,484.44
036,HOMA BAY,190,KABONDO KASIPUL,0950,ELDER,24243,26,50,932.42,484.86
036,HOMA BAY,191,MBITA,0951,ELDER,18048,20,38,902.4,474.95
036,HOMA BAY,191,MBITA,0952,TARBAS,32794,35,67,936.97,489.46
036,HOMA BAY,191,MBITA,0953,GRIFTU,22692,25,47,907.68,482.81
036,HOMA BAY,191,MBITA,0954,HADA,25602,28,53,914.36,483.06
036,HOMA BAY,191,MBITA,0955,ELDER,20470,22,42,930.45,487.38
036,HOMA BAY,192,NDHIWA,0956,ELDER,6423,8,14,802.88,458.79
036,HOMA BAY,192,NDHIWA,0957,TARBAS,19474,21,40,927.33,486.85
036,HOMA BAY,192,NDHIWA,0958,GRIFTU,15105,17,32,888.53,472.03
036,HOMA BAY,192,NDHIWA,0959,HADA,25510,28,53,911.07,481.32
036,HOMA BAY,192,NDHIWA,0960,ELDER,24849,27,51,920.33,487.24
036,HOMA BAY,193,HOMA BAY TOWN,0961,ELDER,23296,25,48,931.84,485.33
036,HOMA BAY,193,HOMA BAY TOWN,0962,TARBAS,24154,26,50,929.0,483.08
036,HOMA BAY,193,HOMA BAY TOWN,0963,GRIFTU,28846,31,59,930.52,488.92
036,HOMA BAY,193,HOMA BAY TOWN,0964,HADA,23108,25,48,924.32,481.42
036,HOMA BAY,193,HOMA BAY TOWN,0965,ELDER,13937,16,30,871.06,464.57
037,MIGORI,194,URIRI,0966,ELDER,15437,17,32,908.06,482.41
