county_code,county_name,constituency_code,constituency_name,ward_code,ward_name,ward_registered_voters_2022,allocated_polling_centers,allocated_polling_stations,avg_voters_per_center_est,avg_voters_per_station_est
046,TURKANA,237,TURKANA NORTH,1181,ELDER,15589,17,32,917.0,487.16
046,TURKANA,237,TURKANA NORTH,1182,TARBAS,15744,17,32,926.12,492.0
046,TURKANA,237,TURKANA NORTH,1183,GRIFTU,20453,22,42,929.68,486.98
046,TURKANA,237,TURKANA NORTH,1184,HADA,20681,23,43,899.17,480.95
046,TURKANA,237,TURKANA NORTH,1185,ELDER,11016,13,24,847.38,459.0
046,TURKANA,238,TURKANA WEST,1186,ELDER,12087,14,26,863.36,464.88
046,TURKANA,238,TURKANA WEST,1187,TARBAS,18778,21,39,894.19,481.49
046,TURKANA,238,TURKANA WEST,1188,GRIFTU,12743,14,26,910.21,490.12
046,TURKANA,238,TURKANA WEST,1189,HADA,9844,11,21,894.91,468.76
046,TURKANA,238,TURKANA WEST,1190,ELDER,15597,17,32,917.47,487.41
046,TURKANA,239,TURKANA SOUTH,1191,ELDER,14214,16,30,888.38,473.8
046,TURKANA,239,TURKANA SOUTH,1192,TARBAS,15037,17,32,884.53,469.91
046,TURKANA,239,TURKANA SOUTH,1193,GRIFTU,16243,18,34,902.39,477.74
046,TURKANA,239,TURKANA SOUTH,1194,HADA,14445,16,30,902.81,481.5
046,TURKANA,239,TURKANA SOUTH,1195,ELDER,14830,16,31,926.88,478.39
046,TURKANA,240,TURKANA EAST,1196,ELDER,23955,26,49,921.35,488.88
046,TURKANA,240,TURKANA EAST,1197,TARBAS,15655,17,32,920.88,489.22
046,TURKANA,240,TURKANA EAST,1198,GRIFTU,13717,15,28,914.47,489.89
046,TURKANA,240,TURKANA EAST,1199,HADA,15168,17,32,892.24,474.0
046,TURKANA,240,TURKANA EAST,1200,ELDER,15341,17,32,902.41,479.41
047,WEST POKOT,241,KAPENGURIA,1201,ELDER,18076,20,38,903.8,475.68
047,WEST POKOT,241,KAPENGURIA,1202,TARBAS,15747,17,32,926.29,492.09
047,WEST POKOT,241,KAPENGURIA,1203,GRIFTU,12714,14,26,908.14,489.0
047,WEST POKOT,241,KAPENGURIA,1204,HADA,32052,35,66,915.77,485.64
047,WEST POKOT,241,KAPENGURIA,1205,ELDER,14090,16,30,880.62,469.67
047,WEST POKOT,242,SIGOR,1206,ELDER,23093,25,48,923.72,481.1
047,WEST POKOT,242,SIGOR,1207,TARBAS,21332,23,44,927.48,484.82
047,WEST POKOT,242,SIGOR,1208,GRIFTU,14897,17,32,876.29,465.53
047,WEST POKOT,242,SIGOR,1209,HADA,25995,28,53,928.39,490.47
047,WEST POKOT,242,SIGOR,1210,ELDER,10785,12,23,898.75,468.91
047,WEST POKOT,243,KACHELIBA,1211,ELDER,8793,10,19,879.3,462.79
047,WEST POKOT,243,KACHELIBA,1212,TARBAS,12058,14,26,861.29,463.77
047,WEST POKOT,243,KACHELIBA,1213,GRIFTU,11119,13,24,855.31,463.29
047,WEST POKOT,243,KACHELIBA,1214,HADA,27195,29,56,937.76,485.62
047,WEST POKOT,243,KACHELIBA,1215,ELDER,16586,18,34,921.44,487.82
047,WEST POKOT,244,POKOT SOUTH,1216,ELDER,18599,20,38,929.95,489.45
047,WEST POKOT,244,POKOT SOUTH,1217,TARBAS,12782,14,27,913.0,473.41
047,WEST POKOT,244,POKOT SOUTH,1218,GRIFTU,19290,21,40,918.57,482.25
047,WEST POKOT,244,POKOT SOUTH,1219,HADA,10464,12,22,872.0,475.64
047,WEST POKOT,244,POKOT SOUTH,1220,ELDER,8750,10,19,875.0,460.53
