county_code,county_name,constituency_code,constituency_name,ward_code,ward_name,ward_registered_voters_2022,allocated_polling_centers,allocated_polling_stations,avg_voters_per_center_est,avg_voters_per_station_est
016,MAKUENI,071,MBOONI,0345,ELDER,34450,37,71,931.08,485.21
016,MAKUENI,071,MBOONI,0346,TARBAS,18386,20,38,919.3,483.84
016,MAKUENI,071,MBOONI,0347,GRIFTU,37864,41,78,923.51,485.44
016,MAKUENI,071,MBOONI,0348,HADA,33149,36,68,920.81,487.49
016,MAKUENI,071,MBOONI,0349,ELDER,21800,24,45,908.33,484.44
016,MAKUENI,072,KIBWEZI WEST,0350,ELDER,24243,26,50,932.42,484.86
016,MAKUENI,072,KIBWEZI WEST,0351,TARBAS,18048,20,38,902.4,474.95
016,MAKUENI,072,KIBWEZI WEST,0352,GRIFTU,32794,35,67,936.97,489.46
016,MAKUENI,072,KIBWEZI WEST,0353,HADA,22692,25,47,907.68,482.81
016,MAKUENI,072,KIBWEZI WEST,0354,ELDER,25602,28,53,914.36,483.06
016,MAKUENI,073,KIBWEZI EAST,0355,ELDER,20470,22,42,930.45,487.38
016,MAKUENI,073,KIBWEZI EAST,0356,TARBAS,6423,8,14,802.88,458.79
016,MAKUENI,073,KIBWEZI EAST,0357,GRIFTU,19474,21,40,927.33,486.85
016,MAKUENI,073,KIBWEZI EAST,0358,HADA,15105,17,32,888.53,472.03
016,MAKUENI,073,KIBWEZI EAST,0359,ELDER,25510,28,53,911.07,481.32
016,MAKUENI,074,MASINGA,0360,ELDER,24849,27,51,920.33,487.24
016,MAKUENI,074,MASINGA,0361,TARBAS,23296,25,48,931.84,485.33
016,MAKUENI,074,MASINGA,0362,GRIFTU,24154,26,50,929.0,483.08
016,MAKUENI,074,MASINGA,0363,HADA,28846,31,59,930.52,488.92
016,MAKUENI,074,MASINGA,0364,ELDER,23108,25,48,924.32,481.42
016,MAKUENI,075,MACHAKOS,0365,ELDER,13937,16,30,871.06,464.57
016,MAKUENI,075,MACHAKOS,0366,TARBAS,15437,17,32,908.06,482.41
016,MAKUENI,075,MACHAKOS,0367,GRIFTU,18188,20,38,909.4,478.63
016,MAKUENI,075,MACHAKOS,0368,HADA,13273,15,28,884.87,474.04
016,MAKUENI,075,MACHAKOS,0369,ELDER,33929,36,69,942.47,491.72
016,MAKUENI,076,KAITI,0370,ELDER,22341,24,46,930.88,485.67
016,MAKUENI,076,KAITI,0371,TARBAS,22926,25,47,917.04,487.79
016,MAKUENI,076,KAITI,0372,GRIFTU,23379,25,48,935.16,487.06
016,MAKUENI,076,KAITI,0373,HADA,18556,20,38,927.8,488.32
016,MAKUENI,076,KAITI,0374,ELDER,31772,34,65,934.47,488.8
017,MACHAKOS,077,MACHAKOS TOWN,0375,ELDER,20551,22,42,934.14,489.31
017,MACHAKOS,077,MACHAKOS TOWN,0376,TARBAS,24331,26,50,935.81,486.62
017,MACHAKOS,077,MACHAKOS TOWN,0377,GRIFTU,13463,15,28,897.53,480.82
017,MACHAKOS,077,MACHAKOS TOWN,0378,HADA,23916,26,49,919.85,488.08
017,MACHAKOS,077,MACHAKOS TOWN,0379,ELDER,18833,21,39,896.81,482.9
017,MACHAKOS,078,MATHIOYA,0380,ELDER,14688,16,30,918.0,489.6
017,MACHAKOS,078,MATHIOYA,0381,TARBAS,15589,17,32,917.0,487.16
017,MACHAKOS,078,MATHIOYA,0382,GRIFTU,15744,17,32,926.12,492.0
017,MACHAKOS,078,MATHIOYA,0383,HADA,20453,22,42,929.68,486.98
017,MACHAKOS,078,MATHIOYA,0384,ELDER,20681,23,43,899.17,480.95
017,MACHAKOS,079,KATHIANI,0385,ELDER,11016,13,24,847.38,459.0
017,MACHAKOS,079,KATHIANI,0386,TARBAS,12087,14,26,863.36,464.88
017,MACHAKOS,079,KATHIANI,0387,GRIFTU,18778,21,39,894.19,481.49
017,MACHAKOS,079,KATHIANI,0388,HADA,12743,14,26,910.21,490.12
017,MACHAKOS,079,KATHIANI,0389,ELDER,9844,11,21,894.91,468.76
017,MACHAKOS,080,KALOLENI,0390,ELDER,15597,17,32,917.47,487.41
017,MACHAKOS,080,KALOLENI,0391,TARBAS,14214,16,30,888.38,473.8
017,MACHAKOS,080,KALOLENI,0392,GRIFTU,15037,17,32,884.53,469.91
017,MACHAKOS,080,KALOLENI,0393,HADA,16243,18,34,902.39,477.74
017,MACHAKOS,080,KALOLENI,0394,ELDER,14445,16,30,902.81,481.5
017,MACHAKOS,081,KANGUNDO,0395,ELDER,14830,16,31,926.88,478.39
017,MACHAKOS,081,KANGUNDO,0396,TARBAS,23955,26,49,921.35,488.88
017,MACHAKOS,081,KANGUNDO,0397,GRIFTU,15655,17,32,920.88,489.22
017,MACHAKOS,081,KANGUNDO,0398,HADA,13717,15,28,914.47,489.89
017,MACHAKOS,081,KANGUNDO,0399,ELDER,15168,17,32,892.24,474.0
017,MACHAKOS,082,MATUNGULU,0400,ELDER,15341,17,32,902.41,479.41
017,MACHAKOS,082,MATUNGULU,0401,TARBAS,18076,20,38,903.8,475.68
017,MACHAKOS,082,MATUNGULU,0402,GRIFTU,15747,17,32,926.29,492.09
017,MACHAKOS,082,MATUNGULU,0403,HADA,12714,14,26,908.14,489.0
017,MACHAKOS,082,MATUNGULU,0404,ELDER,32052,35,66,915.77,485.64
017,MACHAKOS,083,MWALA,0405,ELDER,14090,16,30,880.62,469.67
017,MACHAKOS,083,MWALA,0406,TARBAS,23093,25,48,923.72,481.1
017,MACHAKOS,083,MWALA,0407,GRIFTU,21332,23,44,927.48,484.82
017,MACHAKOS,083,MWALA,0408,HADA,14897,17,32,876.29,465.53
017,MACHAKOS,083,MWALA,0409,ELDER,25995,28,53,928.39,490.47
017,MACHAKOS,084,YATTA,0410,ELDER,10785,12,23,898.75,468.91
017,MACHAKOS,084,YATTA,0411,TARBAS,8793,10,19,879.3,462.79
017,MACHAKOS,084,YATTA,0412,GRIFTU,12058,14,26,861.29,463.77
017,MACHAKOS,084,YATTA,0413,HADA,11119,13,24,855.31,463.29
017,MACHAKOS,084,YATTA,0414,ELDER,27195,29,56,937.76,485.62
