county_code,county_name,constituency_code,constituency_name,ward_code,ward_name,ward_registered_voters_2022,allocated_polling_centers,allocated_polling_stations,avg_voters_per_center_est,avg_voters_per_station_est
011,ISIOLO,043,ISIOLO SOUTH,0205,ELDER,14090,16,30,880.62,469.67
011,ISIOLO,043,ISIOLO SOUTH,0206,TARBAS,23093,25,48,923.72,481.1
011,ISIOLO,043,ISIOLO SOUTH,0207,GRIFTU,21332,23,44,927.48,484.82
011,ISIOLO,043,ISIOLO SOUTH,0208,HADA,14897,17,32,876.29,465.53
011,ISIOLO,043,ISIOLO SOUTH,0209,ELDER,25995,28,53,928.39,490.47
011,ISIOLO,044,ISIOLO NORTH,0210,ELDER,10785,12,23,898.75,468.91
011,ISIOLO,044,ISIOLO NORTH,0211,TARBAS,8793,10,19,879.3,462.79
011,ISIOLO,044,ISIOLO NORTH,0212,GRIFTU,12058,14,26,861.29,463.77
011,ISIOLO,044,ISIOLO NORTH,0213,HADA,11119,13,24,855.31,463.29
011,ISIOLO,044,ISIOLO NORTH,0214,ELDER,27195,29,56,937.76,485.62
011,ISIOLO,045,ISIOLO EAST,0215,ELDER,16586,18,34,921.44,487.82
011,ISIOLO,045,ISIOLO EAST,0216,TARBAS,18599,20,38,929.95,489.45
011,ISIOLO,045,ISIOLO EAST,0217,GRIFTU,12782,14,27,913.0,473.41
011,ISIOLO,045,ISIOLO EAST,0218,HADA,19290,21,40,918.57,482.25
011,ISIOLO,045,ISIOLO EAST,0219,ELDER,10464,12,22,872.0,475.64
011,ISIOLO,046,ISIOLO CENTRAL,0220,ELDER,8750,10,19,875.0,460.53
011,ISIOLO,046,ISIOLO CENTRAL,0221,TARBAS,18566,20,38,928.3,488.58
011,ISIOLO,046,ISIOLO CENTRAL,0222,GRIFTU,30570,33,63,926.36,485.24
011,ISIOLO,046,ISIOLO CENTRAL,0223,HADA,26255,28,54,937.68,486.2
011,ISIOLO,046,ISIOLO CENTRAL,0224,ELDER,9026,10,19,902.6,475.05
012,Meru,047,IGEMBE SOUTH,0225,ELDER,17099,19,36,899.95,474.97
012,Meru,047,IGEMBE SOUTH,0226,TARBAS,17685,19,36,930.79,491.25
012,Meru,047,IGEMBE SOUTH,0227,GRIFTU,16263,18,34,903.5,478.32
012,Meru,047,IGEMBE SOUTH,0228,HADA,10466,12,22,872.17,475.73
012,Meru,047,IGEMBE SOUTH,0229,ELDER,9589,11,20,871.73,479.45
012,Meru,048,IGEMBE CENTRAL,0230,ELDER,29237,32,61,913.66,479.3
012,Meru,048,IGEMBE CENTRAL,0231,TARBAS,37144,40,76,928.6,488.74
012,Meru,048,IGEMBE CENTRAL,0232,GRIFTU,29548,32,61,923.38,484.39
012,Meru,048,IGEMBE CENTRAL,0233,HADA,32551,35,67,930.03,485.84
012,Meru,048,IGEMBE CENTRAL,0234,ELDER,32259,35,67,921.69,481.48
012,Meru,049,IGEMBE NORTH,0235,ELDER,38927,42,80,926.83,486.59
012,Meru,049,IGEMBE NORTH,0236,TARBAS,28468,31,59,918.32,482.51
012,Meru,049,IGEMBE NORTH,0237,GRIFTU,34831,37,71,941.38,490.58
012,Meru,049,IGEMBE NORTH,0238,HADA,26343,29,55,908.38,478.96
012,Meru,049,IGEMBE NORTH,0239,ELDER,29090,31,60,938.39,484.83
012,Meru,050,NORTH IMENTI,0240,ELDER,13484,15,28,898.93,481.57
012,Meru,050,NORTH IMENTI,0241,TARBAS,24892,27,51,921.93,488.08
012,Meru,050,NORTH IMENTI,0242,GRIFTU,37766,40,77,944.15,490.47
012,Meru,050,NORTH IMENTI,0243,HADA,19657,22,41,893.5,479.44
012,Meru,050,NORTH IMENTI,0244,ELDER,19131,21,40,911.0,478.28
012,Meru,051,CENTRAL IMENTI,0245,ELDER,34450,37,71,931.08,485.21
012,Meru,051,CENTRAL IMENTI,0246,TARBAS,18386,20,38,919.3,483.84
012,Meru,051,CENTRAL IMENTI,0247,GRIFTU,37864,41,78,923.51,485.44
012,Meru,051,CENTRAL IMENTI,0248,HADA,33149,36,68,920.81,487.49
012,Meru,051,CENTRAL IMENTI,0249,ELDER,21800,24,45,908.33,484.44
012,Meru,052,SOUTH IMENTI,0250,ELDER,24243,26,50,932.42,484.86
012,Meru,052,SOUTH IMENTI,0251,TARBAS,18048,20,38,902.4,474.95
012,Meru,052,SOUTH IMENTI,0252,GRIFTU,32794,35,67,936.97,489.46
012,Meru,052,SOUTH IMENTI,0253,HADA,22692,25,47,907.68,482.81
012,Meru,052,SOUTH IMENTI,0254,ELDER,25602,28,53,914.36,483.06
012,Meru,053,MAARA,0255,ELDER,20470,22,42,930.45,487.38
012,Meru,053,MAARA,0256,TARBAS,6423,8,14,802.88,458.79
012,Meru,053,MAARA,0257,GRIFTU,19474,21,40,927.33,486.85
012,Meru,053,MAARA,0258,HADA,15105,17,32,888.53,472.03
012,Meru,053,MAARA,0259,ELDER,25510,28,53,911.07,481.32
012,Meru,054,BUURI,0260,ELDER,24849,27,51,920.33,487.24
012,Meru,054,BUURI,0261,TARBAS,23296,25,48,931.84,485.33
012,Meru,054,BUURI,0262,GRIFTU,24154,26,50,929.0,483.08
012,Meru,054,BUURI,0263,HADA,28846,31,59,930.52,488.92
012,Meru,054,BUURI,0264,ELDER,23108,25,48,924.32,481.42
