county_code,county_name,constituency_code,constituency_name,ward_code,ward_name,ward_registered_voters_2022,allocated_polling_centers,allocated_polling_stations,avg_voters_per_center_est,avg_voters_per_station_est
004,TANA RIVER,018,GALOLE,0086,CHENDELE,8972,10,19,897.2,472.21
004,TANA RIVER,018,GALOLE,0087,ASSA,6415,8,14,801.88,458.21
004,TANA RIVER,018,GALOLE,0088,GALOLE,13479,15,28,898.6,481.39
004,TANA RIVER,018,GALOLE,0089,WAYU,7983,9,17,887.0,469.59
004,TANA RIVER,018,GALOLE,0090,CHANDA,8964,10,19,896.4,471.79
004,TANA RIVER,019,BURA,0091,BURA,14185,16,30,886.56,472.83
004,TANA RIVER,020,MAKADHARA,0092,MAKADHARA,9586,11,20,871.45,479.3
004,TANA RIVER,020,MAKADHARA,0093,NDUMA,8412,10,18,841.2,467.33
004,TANA RIVER,020,MAKADHARA,0094,MAJIWA,7845,9,17,871.67,461.47
004,TANA RIVER,020,MAKADHARA,0095,AREJU,6983,8,15,872.88,465.53
004,TANA RIVER,021,GARSSEN,0096,GARSSEN,13157,15,28,877.13,470.61
004,TANA RIVER,021,GARSSEN,0097,MAHANDE,8964,10,19,896.4,471.79
004,TANA RIVER,021,GARSSEN,0098,ILESHI,6897,8,15,862.13,459.8
004,TANA RIVER,021,GARSSEN,0099,BALOOSI,7845,9,17,871.67,461.47
004,TANA RIVER,021,GARSSEN,0100,MAJIWA,8964,10,19,896.4,471.79
005,LAMU,022,LAMU WEST,0101,AMU,7986,9,17,887.33,469.76
005,LAMU,022,LAMU WEST,0102,SHAILA,6897,8,15,862.13,459.8
005,LAMU,022,LAMU WEST,0103,SHIMONI,8964,10,19,896.4,471.79
005,LAMU,022,LAMU WEST,0104,CHENDELE,7845,9,17,871.67,461.47
005,LAMU,022,LAMU WEST,0105,MAKADHARA,8972,10,19,897.2,472.21
005,LAMU,023,LAMU EAST,0106,KIUNGA,6415,8,14,801.88,458.21
005,LAMU,023,LAMU EAST,0107,FAZA,8964,10,19,896.4,471.79
005,LAMU,023,LAMU EAST,0108,PATE,7845,9,17,871.67,461.47
005,LAMU,023,LAMU EAST,0109,KIPINI,8972,10,19,897.2,472.21
005,LAMU,023,LAMU EAST,0110,BONDHEI,6983,8,15,872.88,465.53
006,TAITA TAVETA,024,TAVETA,0111,TAVETA,13157,15,28,877.13,470.61
006,TAITA TAVETA,024,TAVETA,0112,CHALA,8964,10,19,896.4,471.79
006,TAITA TAVETA,024,TAVETA,0113,MBALE,7845,9,17,871.67,461.47
006,TAITA TAVETA,024,TAVETA,0114,ROMBO,8972,10,19,897.2,472.21
006,TAITA TAVETA,025,WUNDANYI,0115,WUNDANYI,14185,16,30,886.56,472.83
006,TAITA TAVETA,025,WUNDANYI,0116,MBOMANZI,9586,11,20,871.45,479.3
006,TAITA TAVETA,025,WUNDANYI,0117,MAWENZI,8412,10,18,841.2,467.33
006,TAITA TAVETA,025,WUNDANYI,0118,CHAWIA,7845,9,17,871.67,461.47
006,TAITA TAVETA,025,WUNDANYI,0119,MGHAMBI,6983,8,15,872.88,465.53
006,TAITA TAVETA,026,MSAMBWENI,0120,MSAMBWENI,13157,15,28,877.13,470.61
006,TAITA TAVETA,026,MSAMBWENI,0121,DAVID,8964,10,19,896.4,471.79
006,TAITA TAVETA,026,MSAMBWENI,0122,NGAMIA,7845,9,17,871.67,461.47
006,TAITA TAVETA,026,MSAMBWENI,0123,PARANGU,8972,10,19,897.2,472.21
006,TAITA TAVETA,026,MSAMBWENI,0124,BOHONI,6983,8,15,872.88,465.53
007,GARISSA,027,GARISSA TOWNSHIP,0125,GARISSA TOWNSHIP,24243,26,50,932.42,484.86
007,GARISSA,027,GARISSA TOWNSHIP,0126,BALAMBALA,18048,20,38,902.4,474.95
007,GARISSA,027,GARISSA TOWNSHIP,0127,DADAAB,32794,35,67,936.97,489.46
007,GARISSA,027,GARISSA TOWNSHIP,0128,LIBOI,22692,25,47,907.68,482.81
007,GARISSA,027,GARISSA TOWNSHIP,0129,LAGDERA,25602,28,53,914.36,483.06
007,GARISSA,028,FUNI,0130,FUNI,20470,22,42,930.45,487.38
007,GARISSA,028,FUNI,0131,DERA,6423,8,14,802.88,458.79
007,GARISSA,028,FUNI,0132,HARO,19474,21,40,927.33,486.85
007,GARISSA,028,FUNI,0133,ELWAK,15105,17,32,888.53,472.03
007,GARISSA,028,FUNI,0134,SHANTABAQ,25510,28,53,911.07,481.32
007,GARISSA,029,BALAMBALA,0135,BALAMBALA,24849,27,51,920.33,487.24
007,GARISSA,029,BALAMBALA,0136,DERA,23296,25,48,931.84,485.33
007,GARISSA,029,BALAMBALA,0137,HARO,24154,26,50,929.0,483.08
007,GARISSA,029,BALAMBALA,0138,ELWAK,28846,31,59,930.52,488.92
007,GARISSA,029,BALAMBALA,0139,SHANTABAQ,23108,25,48,924.32,481.42
007,GARISSA,030,LAGDERA,0140,LAGDERA,13937,16,30,871.06,464.57
007,GARISSA,030,LAGDERA,0141,DERA,15437,17,32,908.06,482.41
007,GARISSA,030,LAGDERA,0142,HARO,18188,20,38,909.4,478.63
007,GARISSA,030,LAGDERA,0143,ELWAK,13273,15,28,884.87,474.04
007,GARISSA,030,LAGDERA,0144,SHANTABAQ,33929,36,69,942.47,491.72
