county_code,county_name,constituency_code,constituency_name,ward_code,ward_name,ward_registered_voters_2022,allocated_polling_centers,allocated_polling_stations,avg_voters_per_center_est,avg_voters_per_station_est
026,UASIN GISHU,131,ELDORET EAST,0646,ELDER,18386,20,38,919.3,483.84
026,UASIN GISHU,131,ELDORET EAST,0647,TARBAS,37864,41,78,923.51,485.44
026,UASIN GISHU,131,ELDORET EAST,0648,GRIFTU,33149,36,68,920.81,487.49
026,UASIN GISHU,131,ELDORET EAST,0649,HADA,21800,24,45,908.33,484.44
026,UASIN GISHU,131,ELDORET EAST,0650,ELDER,24243,26,50,932.42,484.86
026,UASIN GISHU,132,ELDORET NORTH,0651,ELDER,18048,20,38,902.4,474.95
026,UASIN GISHU,132,ELDORET NORTH,0652,TARBAS,32794,35,67,936.97,489.46
026,UASIN GISHU,132,ELDORET NORTH,0653,GRIFTU,22692,25,47,907.68,482.81
026,UASIN GISHU,132,ELDORET NORTH,0654,HADA,25602,28,53,914.36,483.06
026,UASIN GISHU,132,ELDORET NORTH,0655,ELDER,20470,22,42,930.45,487.38
026,UASIN GISHU,133,ELDORET SOUTH,0656,ELDER,6423,8,14,802.88,458.79
026,UASIN GISHU,133,ELDORET SOUTH,0657,TARBAS,19474,21,40,927.33,486.85
026,UASIN GISHU,133,ELDORET SOUTH,0658,GRIFTU,15105,17,32,888.53,472.03
026,UASIN GISHU,133,ELDORET SOUTH,0659,HADA,25510,28,53,911.07,481.32
026,UASIN GISHU,133,ELDORET SOUTH,0660,ELDER,24849,27,51,920.33,487.24
026,UASIN GISHU,134,MOiben,0661,ELDER,23296,25,48,931.84,485.33
026,UASIN GISHU,134,MOiben,0662,TARBAS,24154,26,50,929.0,483.08
026,UASIN GISHU,134,MOiben,0663,GRIFTU,28846,31,59,930.52,488.92
026,UASIN GISHU,134,MOiben,0664,HADA,23108,25,48,924.32,481.42
026,UASIN GISHU,134,MOiben,0665,ELDER,13937,16,30,871.06,464.57
026,UASIN GISHU,135,TURBO,0666,ELDER,15437,17,32,908.06,482.41
026,UASIN GISHU,135,TURBO,0667,TARBAS,18188,20,38,909.4,478.63
026,UASIN GISHU,135,TURBO,0668,GRIFTU,13273,15,28,884.87,474.04
026,UASIN GISHU,135,TURBO,0669,HADA,33929,36,69,942.47,491.72
026,UASIN GISHU,135,TURBO,0670,ELDER,22341,24,46,930.88,485.67
026,UASIN GISHU,136,KAPSERET,0671,ELDER,22926,25,47,917.04,487.79
026,UASIN GISHU,136,KAPSERET,0672,TARBAS,23379,25,48,935.16,487.06
026,UASIN GISHU,136,KAPSERET,0673,GRIFTU,18556,20,38,927.8,488.32
026,UASIN GISHU,136,KAPSERET,0674,HADA,31772,34,65,934.47,488.8
026,UASIN GISHU,136,KAPSERET,0675,ELDER,20551,22,42,934.14,489.31
027,ELGEYO MARAKWET,137,KEIYO SOUTH,0676,ELDER,24331,26,50,935.81,486.62
027,ELGEYO MARAKWET,137,KEIYO SOUTH,0677,TARBAS,13463,15,28,897.53,480.82
027,ELGEYO MARAKWET,137,KEIYO SOUTH,0678,GRIFTU,23916,26,49,919.85,488.08
027,ELGEYO MARAKWET,137,KEIYO SOUTH,0679,HADA,18833,21,39,896.81,482.9
027,ELGEYO MARAKWET,137,KEIYO SOUTH,0680,ELDER,14688,16,30,918.0,489.6
027,ELGEYO MARAKWET,138,KEIYO NORTH,0681,ELDER,15589,17,32,917.0,487.16
027,ELGEYO MARAKWET,138,KEIYO NORTH,0682,TARBAS,15744,17,32,926.12,492.0
027,ELGEYO MARAKWET,138,KEIYO NORTH,0683,GRIFTU,20453,22,42,929.68,486.98
027,ELGEYO MARAKWET,138,KEIYO NORTH,0684,HADA,20681,23,43,899.17,480.95
027,ELGEYO MARAKWET,138,KEIYO NORTH,0685,ELDER,11016,13,24,847.38,459.0
027,ELGEYO MARAKWET,139,MARAKWET EAST,0686,ELDER,12087,14,26,863.36,464.88
027,ELGEYO MARAKWET,139,MARAKWET EAST,0687,TARBAS,18778,21,39,894.19,481.49
027,ELGEYO MARAKWET,139,MARAKWET EAST,0688,GRIFTU,12743,14,26,910.21,490.12
027,ELGEYO MARAKWET,139,MARAKWET EAST,0689,HADA,9844,11,21,894.91,468.76
027,ELGEYO MARAKWET,139,MARAKWET EAST,0690,ELDER,15597,17,32,917.47,487.41
027,ELGEYO MARAKWET,140,MARAKWET WEST,0691,ELDER,14214,16,30,888.38,473.8
027,ELGEYO MARAKWET,140,MARAKWET WEST,0692,TARBAS,15037,17,32,884.53,469.91
027,ELGEYO MARAKWET,140,MARAKWET WEST,0693,GRIFTU,16243,18,34,902.39,477.74
027,ELGEYO MARAKWET,140,MARAKWET WEST,0694,HADA,14445,16,30,902.81,481.5
027,ELGEYO MARAKWET,140,MARAKWET WEST,0695,ELDER,14830,16,31,926.88,478.39
027,ELGEYO MARAKWET,141,EMBOBUT,0696,ELDER,23955,26,49,921.35,488.88
027,ELGEYO MARAKWET,141,EMBOBUT,0697,TARBAS,15655,17,32,920.88,489.22
027,ELGEYO MARAKWET,141,EMBOBUT,0698,GRIFTU,13717,15,28,914.47,489.89
027,ELGEYO MARAKWET,141,EMBOBUT,0699,HADA,15168,17,32,892.24,474.0
027,ELGEYO MARAKWET,141,EMBOBUT,0700,ELDER,15341,17,32,902.41,479.41
028,NANDI,142,NANDI HILLS,0701,ELDER,18076,20,38,903.8,475.68
028,NANDI,142,NANDI HILLS,0702,TARBAS,15747,17,32,926.29,492.09
028,NANDI,142,NANDI HILLS,0703,GRIFTU,12714,14,26,908.14,489.0
028,NANDI,142,NANDI HILLS,0704,HADA,32052,35,66,915.77,485.64
028,NANDI,142,NANDI HILLS,0705,ELDER,14090,16,30,880.62,469.67
028,NANDI,143,TINDIRET,0706,ELDER,23093,25,48,923.72,481.1
028,NANDI,143,TINDIRET,0707,TARBAS,21332,23,44,927.48,484.82
028,NANDI,143,TINDIRET,0708,GRIFTU,14897,17,32,876.29,465.53
028,NANDI,143,TINDIRET,0709,HADA,25995,28,53,928.39,490.47
028,NANDI,143,TINDIRET,0710,ELDER,10785,12,23,898.75,468.91
