county_code,county_name,constituency_code,constituency_name,ward_code,ward_name,ward_registered_voters_2022,allocated_polling_centers,allocated_polling_stations,avg_voters_per_center_est,avg_voters_per_station_est
008,WAJIR,031,WAJIR SOUTH,0145,ELDER,8964,10,19,896.4,471.79
008,WAJIR,031,WAJIR SOUTH,0146,TARBAS,7845,9,17,871.67,461.47
008,WAJIR,031,WAJIR SOUTH,0147,GRIFTU,8972,10,19,897.2,472.21
008,WAJIR,031,WAJIR SOUTH,0148,HADA,6415,8,14,801.88,458.21
008,WAJIR,031,WAJIR SOUTH,0149,ELDER,8964,10,19,896.4,471.79
008,WAJIR,032,WAJIR EAST,0150,WAJIR TOWNSHIP,24243,26,50,932.42,484.86
008,WAJIR,032,WAJIR EAST,0151,ELDER,18048,20,38,902.4,474.95
008,WAJIR,032,WAJIR EAST,0152,TARBAS,32794,35,67,936.97,489.46
008,WAJIR,032,WAJIR EAST,0153,GRIFTU,22692,25,47,907.68,482.81
008,WAJIR,032,WAJIR EAST,0154,HADA,25602,28,53,914.36,483.06
008,WAJIR,033,WAJIR NORTH,0155,ELDER,20470,22,42,930.45,487.38
008,WAJIR,033,WAJIR NORTH,0156,TARBAS,6423,8,14,802.88,458.79
008,WAJIR,033,WAJIR NORTH,0157,GRIFTU,19474,21,40,927.33,486.85
008,WAJIR,033,WAJIR NORTH,0158,HADA,15105,17,32,888.53,472.03
008,WAJIR,033,WAJIR NORTH,0159,ELDER,25510,28,53,911.07,481.32
008,WAJIR,034,WAJIR WEST,0160,ELDER,24849,27,51,920.33,487.24
008,WAJIR,034,WAJIR WEST,0161,TARBAS,23296,25,48,931.84,485.33
008,WAJIR,034,WAJIR WEST,0162,GRIFTU,24154,26,50,929.0,483.08
008,WAJIR,034,WAJIR WEST,0163,HADA,28846,31,59,930.52,488.92
008,WAJIR,034,WAJIR WEST,0164,ELDER,23108,25,48,924.32,481.42
009,MANDERA,035,MANDERA SOUTH,0165,ELDER,13937,16,30,871.06,464.57
009,MANDERA,035,MANDERA SOUTH,0166,TARBAS,15437,17,32,908.06,482.41
009,MANDERA,035,MANDERA SOUTH,0167,GRIFTU,18188,20,38,909.4,478.63
009,MANDERA,035,MANDERA SOUTH,0168,HADA,13273,15,28,884.87,474.04
009,MANDERA,035,MANDERA SOUTH,0169,ELDER,33929,36,69,942.47,491.72
009,MANDERA,036,MANDERA EAST,0170,ELDER,22341,24,46,930.88,485.67
009,MANDERA,036,MANDERA EAST,0171,TARBAS,22926,25,47,917.04,487.79
009,MANDERA,036,MANDERA EAST,0172,GRIFTU,23379,25,48,935.16,487.06
009,MANDERA,036,MANDERA EAST,0173,HADA,18556,20,38,927.8,488.32
009,MANDERA,036,MANDERA EAST,0174,ELDER,31772,34,65,934.47,488.8
009,MANDERA,037,MANDERA NORTH,0175,ELDER,20551,22,42,934.14,489.31
009,MANDERA,037,MANDERA NORTH,0176,TARBAS,24331,26,50,935.81,486.62
009,MANDERA,037,MANDERA NORTH,0177,GRIFTU,13463,15,28,897.53,480.82
009,MANDERA,037,MANDERA NORTH,0178,HADA,23916,26,49,919.85,488.08
009,MANDERA,037,MANDERA NORTH,0179,ELDER,18833,21,39,896.81,482.9
009,MANDERA,038,MANDERA WEST,0180,ELDER,14688,16,30,918.0,489.6
009,MANDERA,038,MANDERA WEST,0181,TARBAS,15589,17,32,917.0,487.16
009,MANDERA,038,MANDERA WEST,0182,GRIFTU,15744,17,32,926.12,492.0
009,MANDERA,038,MANDERA WEST,0183,HADA,20453,22,42,929.68,486.98
009,MANDERA,038,MANDERA WEST,0184,ELDER,20681,23,43,899.17,480.95
010,MARSABIT,039,MARSABIT SOUTH,0185,ELDER,11016,13,24,847.38,459.0
010,MARSABIT,039,MARSABIT SOUTH,0186,TARBAS,12087,14,26,863.36,464.88
010,MARSABIT,039,MARSABIT SOUTH,0187,GRIFTU,18778,21,39,894.19,481.49
010,MARSABIT,039,MARSABIT SOUTH,0188,HADA,12743,14,26,910.21,490.12
010,MARSABIT,039,MARSABIT SOUTH,0189,ELDER,9844,11,21,894.91,468.76
010,MARSABIT,040,MARSABIT NORTH,0190,ELDER,15597,17,32,917.47,487.41
010,MARSABIT,040,MARSABIT NORTH,0191,TARBAS,14214,16,30,888.38,473.8
010,MARSABIT,040,MARSABIT NORTH,0192,GRIFTU,15037,17,32,884.53,469.91
010,MARSABIT,040,MARSABIT NORTH,0193,HADA,16243,18,34,902.39,477.74
010,MARSABIT,040,MARSABIT NORTH,0194,ELDER,14445,16,30,902.81,481.5
010,MARSABIT,041,MARSABIT EAST,0195,ELDER,14830,16,31,926.88,478.39
010,MARSABIT,041,MARSABIT EAST,0196,TARBAS,23955,26,49,921.35,488.88
010,MARSABIT,041,MARSABIT EAST,0197,GRIFTU,15655,17,32,920.88,489.22
010,MARSABIT,041,MARSABIT EAST,0198,HADA,13717,15,28,914.47,489.89
010,MARSABIT,041,MARSABIT EAST,0199,ELDER,15168,17,32,892.24,474.0
010,MARSABIT,042,MARSABIT WEST,0200,ELDER,15341,17,32,902.41,479.41
010,MARSABIT,042,MARSABIT WEST,0201,TARBAS,18076,20,38,903.8,475.68
010,MARSABIT,042,MARSABIT WEST,0202,GRIFTU,15747,17,32,926.29,492.09
010,MARSABIT,042,MARSABIT WEST,0203,HADA,12714,14,26,908.14,489.0
010,MARSABIT,042,MARSABIT WEST,0204,ELDER,32052,35,66,915.77,485.64
