county_code,county_name,constituency_code,constituency_name,ward_code,ward_name,ward_registered_voters_2022,allocated_polling_centers,allocated_polling_stations,avg_voters_per_center_est,avg_voters_per_station_est
020,NAKURU,101,NAIVASHA,0495,ELDER,14830,16,31,926.88,478.39
020,NAKURU,101,NAIVASHA,0496,TARBAS,23955,26,49,921.35,488.88
020,NAKURU,101,NAIVASHA,0497,GRIFTU,15655,17,32,920.88,489.22
020,NAKURU,101,NAIVASHA,0498,HADA,13717,15,28,914.47,489.89
020,NAKURU,101,NAIVASHA,0499,ELDER,15168,17,32,892.24,474.0
020,NAKURU,101,NAIVASHA,0500,ELDER,15341,17,32,902.41,479.41
020,NAKURU,102,NAKURU TOWN,0501,ELDER,18076,20,38,903.8,475.68
020,NAKURU,102,NAKURU TOWN,0502,TARBAS,15747,17,32,926.29,492.09
020,NAKURU,102,NAKURU TOWN,0503,GRIFTU,12714,14,26,908.14,489.0
020,NAKURU,102,NAKURU TOWN,0504,HADA,32052,35,66,915.77,485.64
020,NAKURU,102,NAKURU TOWN,0505,ELDER,14090,16,30,880.62,469.67
020,NAKURU,103,GILGIL,0506,ELDER,23093,25,48,923.72,481.1
020,NAKURU,103,GILGIL,0507,TARBAS,21332,23,44,927.48,484.82
020,NAKURU,103,GILGIL,0508,GRIFTU,14897,17,32,876.29,465.53
020,NAKURU,103,GILGIL,0509,HADA,25995,28,53,928.39,490.47
020,NAKURU,103,GILGIL,0510,ELDER,10785,12,23,898.75,468.91
020,NAKURU,104,KERINGET,0511,ELDER,8793,10,19,879.3,462.79
020,NAKURU,104,KERINGET,0512,TARBAS,12058,14,26,861.29,463.77
020,NAKURU,104,KERINGET,0513,GRIFTU,11119,13,24,855.31,463.29
020,NAKURU,104,KERINGET,0514,HADA,27195,29,56,937.76,485.62
020,NAKURU,104,KERINGET,0515,ELDER,16586,18,34,921.44,487.82
020,NAKURU,105,MAI MAHIU,0516,ELDER,18599,20,38,929.95,489.45
020,NAKURU,105,MAI MAHIU,0517,TARBAS,12782,14,27,913.0,473.41
020,NAKURU,105,MAI MAHIU,0518,GRIFTU,19290,21,40,918.57,482.25
020,NAKURU,105,MAI MAHIU,0519,HADA,10464,12,22,872.0,475.64
020,NAKURU,105,MAI MAHIU,0520,ELDER,8750,10,19,875.0,460.53
020,NAKURU,106,MOLO,0521,ELDER,18566,20,38,928.3,488.58
020,NAKURU,106,MOLO,0522,TARBAS,30570,33,63,926.36,485.24
020,NAKURU,106,MOLO,0523,GRIFTU,26255,28,54,937.68,486.2
020,NAKURU,106,MOLO,0524,HADA,9026,10,19,902.6,475.05
020,NAKURU,106,MOLO,0525,ELDER,17099,19,36,899.95,474.97
020,NAKURU,107,OL JORO OROK,0526,ELDER,17685,19,36,930.79,491.25
020,NAKURU,107,OL JORO OROK,0527,TARBAS,16263,18,34,903.5,478.32
020,NAKURU,107,OL JORO OROK,0528,GRIFTU,10466,12,22,872.17,475.73
020,NAKURU,107,OL JORO OROK,0529,HADA,9589,11,20,871.73,479.45
020,NAKURU,107,OL JORO OROK,0530,ELDER,29237,32,61,913.66,479.3
021,NAROK,108,NAROK NORTH,0531,ELDER,37144,40,76,928.6,488.74
021,NAROK,108,NAROK NORTH,0532,TARBAS,29548,32,61,923.38,484.39
021,NAROK,108,NAROK NORTH,0533,GRIFTU,32551,35,67,930.03,485.84
021,NAROK,108,NAROK NORTH,0534,HADA,32259,35,67,921.69,481.48
021,NAROK,108,NAROK NORTH,0535,ELDER,38927,42,80,926.83,486.59
021,NAROK,109,NAROK SOUTH,0536,ELDER,28468,31,59,918.32,482.51
021,NAROK,109,NAROK SOUTH,0537,TARBAS,34831,37,71,941.38,490.58
021,NAROK,109,NAROK SOUTH,0538,GRIFTU,26343,29,55,908.38,478.96
021,NAROK,109,NAROK SOUTH,0539,HADA,29090,31,60,938.39,484.83
021,NAROK,109,NAROK SOUTH,0540,ELDER,13484,15,28,898.93,481.57
021,NAROK,110,KILGORIS,0541,ELDER,24892,27,51,921.93,488.08
021,NAROK,110,KILGORIS,0542,TARBAS,37766,40,77,944.15,490.47
021,NAROK,110,KILGORIS,0543,GRIFTU,19657,22,41,893.5,479.44
021,NAROK,110,KILGORIS,0544,HADA,19131,21,40,911.0,478.28
021,NAROK,110,KILGORIS,0545,ELDER,34450,37,71,931.08,485.21
021,NAROK,111,EMALI,0546,ELDER,18386,20,38,919.3,483.84
021,NAROK,111,EMALI,0547,TARBAS,37864,41,78,923.51,485.44
021,NAROK,111,EMALI,0548,GRIFTU,33149,36,68,920.81,487.49
021,NAROK,111,EMALI,0549,HADA,21800,24,45,908.33,484.44
021,NAROK,111,EMALI,0550,ELDER,24243,26,50,932.42,484.86
022,KAJIADO,112,KAJIADO NORTH,0551,ELDER,18048,20,38,902.4,474.95
022,KAJIADO,112,KAJIADO NORTH,0552,TARBAS,32794,35,67,936.97,489.46
022,KAJIADO,112,KAJIADO NORTH,0553,GRIFTU,22692,25,47,907.68,482.81
022,KAJIADO,112,KAJIADO NORTH,0554,HADA,25602,28,53,914.36,483.06
022,KAJIADO,112,KAJIADO NORTH,0555,ELDER,20470,22,42,930.45,487.38
022,KAJIADO,113,KAJIADO EAST,0556,ELDER,6423,8,14,802.88,458.79
022,KAJIADO,113,KAJIADO EAST,0557,TARBAS,19474,21,40,927.33,486.85
022,KAJIADO,113,KAJIADO EAST,0558,GRIFTU,15105,17,32,888.53,472.03
022,KAJIADO,113,KAJIADO EAST,0559,HADA,25510,28,53,911.07,481.32
022,KAJIADO,113,KAJIADO EAST,0560,ELDER,24849,27,51,920.33,487.24
022,KAJIADO,114,KAJIADO CENTRAL,0561,ELDER,23296,25,48,931.84,485.33
022,KAJIADO,114,KAJIADO CENTRAL,0562,TARBAS,24154,26,50,929.0,483.08
022,KAJIADO,114,KAJIADO CENTRAL,0563,GRIFTU,28846,31,59,930.52,488.92
