county_code,county_name,constituency_code,constituency_name,ward_code,ward_name,ward_registered_voters_2022,allocated_polling_centers,allocated_polling_stations,avg_voters_per_center_est,avg_voters_per_station_est
023,BOMET,116,KIPKELION EAST,0571,ELDER,22926,25,47,917.04,487.79
023,BOMET,116,KIPKELION EAST,0572,TARBAS,23379,25,48,935.16,487.06
023,BOMET,116,KIPKELION EAST,0573,GRIFTU,18556,20,38,927.8,488.32
023,BOMET,116,KIPKELION EAST,0574,HADA,31772,34,65,934.47,488.8
023,BOMET,116,KIPKELION EAST,0575,ELDER,20551,22,42,934.14,489.31
023,BOMET,117,KIPKELION WEST,0576,ELDER,24331,26,50,935.81,486.62
023,BOMET,117,KIPKELION WEST,0577,TARBAS,13463,15,28,897.53,480.82
023,BOMET,117,KIPKELION WEST,0578,GRIFTU,23916,26,49,919.85,488.08
023,BOMET,117,KIPKELION WEST,0579,HADA,18833,21,39,896.81,482.9
023,BOMET,117,KIPKELION WEST,0580,ELDER,14688,16,30,918.0,489.6
023,BOMET,118,BOMET EAST,0581,ELDER,15589,17,32,917.0,487.16
023,BOMET,118,BOMET EAST,0582,TARBAS,15744,17,32,926.12,492.0
023,BOMET,118,BOMET EAST,0583,GRIFTU,20453,22,42,929.68,486.98
023,BOMET,118,BOMET EAST,0584,HADA,20681,23,43,899.17,480.95
023,BOMET,118,BOMET EAST,0585,ELDER,11016,13,24,847.38,459.0
023,BOMET,119,BOMET CENTRAL,0586,ELDER,12087,14,26,863.36,464.88
023,BOMET,119,BOMET CENTRAL,0587,TARBAS,18778,21,39,894.19,481.49
023,BOMET,119,BOMET CENTRAL,0588,GRIFTU,12743,14,26,910.21,490.12
023,BOMET,119,BOMET CENTRAL,0589,HADA,9844,11,21,894.91,468.76
023,BOMET,119,BOMET CENTRAL,0590,ELDER,15597,17,32,917.47,487.41
023,BOMET,120,KONOI,0591,ELDER,14214,16,30,888.38,473.8
023,BOMET,120,KONOI,0592,TARBAS,15037,17,32,884.53,469.91
023,BOMET,120,KONOI,0593,GRIFTU,16243,18,34,902.39,477.74
023,BOMET,120,KONOI,0594,HADA,14445,16,30,902.81,481.5
023,BOMET,120,KONOI,0595,ELDER,14830,16,31,926.88,478.39
024,KERICHO,121,KERICHO EAST,0596,ELDER,23955,26,49,921.35,488.88
024,KERICHO,121,KERICHO EAST,0597,TARBAS,15655,17,32,920.88,489.22
024,KERICHO,121,KERICHO EAST,0598,GRIFTU,13717,15,28,914.47,489.89
024,KERICHO,121,KERICHO EAST,0599,HADA,15168,17,32,892.24,474.0
024,KERICHO,121,KERICHO EAST,0600,ELDER,15341,17,32,902.41,479.41
024,KERICHO,122,KERICHO WEST,0601,ELDER,18076,20,38,903.8,475.68
024,KERICHO,122,KERICHO WEST,0602,TARBAS,15747,17,32,926.29,492.09
024,KERICHO,122,KERICHO WEST,0603,GRIFTU,12714,14,26,908.14,489.0
024,KERICHO,122,KERICHO WEST,0604,HADA,32052,35,66,915.77,485.64
024,KERICHO,122,KERICHO WEST,0605,ELDER,14090,16,30,880.62,469.67
024,KERICHO,123,BELGUT,0606,ELDER,23093,25,48,923.72,481.1
024,KERICHO,123,BELGUT,0607,TARBAS,21332,23,44,927.48,484.82
024,KERICHO,123,BELGUT,0608,GRIFTU,14897,17,32,876.29,465.53
024,KERICHO,123,BELGUT,0609,HADA,25995,28,53,928.39,490.47
024,KERICHO,123,BELGUT,0610,ELDER,10785,12,23,898.75,468.91
024,KERICHO,124,AINAMOI,0611,ELDER,8793,10,19,879.3,462.79
024,KERICHO,124,AINAMOI,0612,TARBAS,12058,14,26,861.29,463.77
024,KERICHO,124,AINAMOI,0613,GRIFTU,11119,13,24,855.31,463.29
024,KERICHO,124,AINAMOI,0614,HADA,27195,29,56,937.76,485.62
024,KERICHO,124,AINAMOI,0615,ELDER,16586,18,34,921.44,487.82
024,KERICHO,125,LONDIANI,0616,ELDER,18599,20,38,929.95,489.45
024,KERICHO,125,LONDIANI,0617,TARBAS,12782,14,27,913.0,473.41
024,KERICHO,125,LONDIANI,0618,GRIFTU,19290,21,40,918.57,482.25
024,KERICHO,125,LONDIANI,0619,HADA,10464,12,22,872.0,475.64
024,KERICHO,125,LONDIANI,0620,ELDER,8750,10,19,875.0,460.53
025,NANDI,126,ALDAI,0621,ELDER,18566,20,38,928.3,488.58
025,NANDI,126,ALDAI,0622,TARBAS,30570,33,63,926.36,485.24
025,NANDI,126,ALDAI,0623,GRIFTU,26255,28,54,937.68,486.2
025,NANDI,126,ALDAI,0624,HADA,9026,10,19,902.6,475.05
025,NANDI,126,ALDAI,0625,ELDER,17099,19,36,899.95,474.97
025,NANDI,127,EMGWEN,0626,ELDER,17685,19,36,930.79,491.25
025,NANDI,127,EMGWEN,0627,TARBAS,16263,18,34,903.5,478.32
025,NANDI,127,EMGWEN,0628,GRIFTU,10466,12,22,872.17,475.73
025,NANDI,127,EMGWEN,0629,HADA,9589,11,20,871.73,479.45
025,NANDI,127,EMGWEN,0630,ELDER,29237,32,61,913.66,479.3
025,NANDI,128,TINDIRET,0631,ELDER,37144,40,76,928.6,488.74
025,NANDI,128,TINDIRET,0632,TARBAS,29548,32,61,923.38,484.39
025,NANDI,128,TINDIRET,0633,GRIFTU,32551,35,67,930.03,485.84
025,NANDI,128,TINDIRET,0634,HADA,32259,35,67,921.69,481.48
025,NANDI,128,TINDIRET,0635,ELDER,38927,42,80,926.83,486.59
025,NANDI,129,CHESUMEI,0636,ELDER,28468,31,59,918.32,482.51
025,NANDI,129,CHESUMEI,0637,TARBAS,34831,37,71,941.38,490.58
025,NANDI,129,CHESUMEI,0638,GRIFTU,26343,29,55,908.38,478.96
025,NANDI,129,CHESUMEI,0639,HADA,29090,31,60,938.39,484.83
025,NANDI,129,CHESUMEI,0640,ELDER,13484,15,28,898.93,481.57
025,NANDI,130,NANDI HILLS,0641,ELDER,24892,27,51,921.93,488.08
025,NANDI,130,NANDI HILLS,0642,TARBAS,37766,40,77,944.15,490.47
025,NANDI,130,NANDI HILLS,0643,GRIFTU,19657,22,41,893.5,479.44
025,NANDI,130,NANDI HILLS,0644,HADA,19131,21,40,911.0,478.28
025,NANDI,130,NANDI HILLS,0645,ELDER,34450,37,71,931.08,485.21
