county_code,county_name,constituency_code,constituency_name,ward_code,ward_name,ward_registered_voters_2022,allocated_polling_centers,allocated_polling_stations,avg_voters_per_center_est,avg_voters_per_station_est
031,BUSIA,156,BUTULA,0776,ELDER,24331,26,50,935.81,486.62
031,BUSIA,156,BUTULA,0777,TARBAS,13463,15,28,897.53,480.82
031,BUSIA,156,BUTULA,0778,GRIFTU,23916,26,49,919.85,488.08
031,BUSIA,156,BUTULA,0779,HADA,18833,21,39,896.81,482.9
031,BUSIA,156,BUTULA,0780,ELDER,14688,16,30,918.0,489.6
031,BUSIA,157,FUNYULA,0781,ELDER,15589,17,32,917.0,487.16
031,BUSIA,157,FUNYULA,0782,TARBAS,15744,17,32,926.12,492.0
031,BUSIA,157,FUNYULA,0783,GRIFTU,20453,22,42,929.68,486.98
031,BUSIA,157,FUNYULA,0784,HADA,20681,23,43,899.17,480.95
031,BUSIA,157,FUNYULA,0785,ELDER,11016,13,24,847.38,459.0
031,BUSIA,158,BUDALANGI,0786,ELDER,12087,14,26,863.36,464.88
031,BUSIA,158,BUDALANGI,0787,TARBAS,18778,21,39,894.19,481.49
031,BUSIA,158,BUDALANGI,0788,GRIFTU,12743,14,26,910.21,490.12
031,BUSIA,158,BUDALANGI,0789,HADA,9844,11,21,894.91,468.76
031,BUSIA,158,BUDALANGI,0790,ELDER,15597,17,32,917.47,487.41
031,BUSIA,159,AMUKURA,0791,ELDER,14214,16,30,888.38,473.8
031,BUSIA,159,AMUKURA,0792,TARBAS,15037,17,32,884.53,469.91
031,BUSIA,159,AMUKURA,0793,GRIFTU,16243,18,34,902.39,477.74
031,BUSIA,159,AMUKURA,0794,HADA,14445,16,30,902.81,481.5
031,BUSIA,159,AMUKURA,0795,ELDER,14830,16,31,926.88,478.39
031,BUSIA,160,NAMBALE,0796,ELDER,23955,26,49,921.35,488.88
031,BUSIA,160,NAMBALE,0797,TARBAS,15655,17,32,920.88,489.22
031,BUSIA,160,NAMBALE,0798,GRIFTU,13717,15,28,914.47,489.89
031,BUSIA,160,NAMBALE,0799,HADA,15168,17,32,892.24,474.0
031,BUSIA,160,NAMBALE,0800,ELDER,15341,17,32,902.41,479.41
031,BUSIA,161,Matayos,0801,ELDER,18076,20,38,903.8,475.68
031,BUSIA,161,Matayos,0802,TARBAS,15747,17,32,926.29,492.09
031,BUSIA,161,Matayos,0803,GRIFTU,12714,14,26,908.14,489.0
031,BUSIA,161,Matayos,0804,HADA,32052,35,66,915.77,485.64
031,BUSIA,161,Matayos,0805,ELDER,14090,16,30,880.62,469.67
031,BUSIA,162,SAMIA,0806,ELDER,23093,25,48,923.72,481.1
031,BUSIA,162,SAMIA,0807,TARBAS,21332,23,44,927.48,484.82
