county_code,county_name,constituency_code,constituency_name,ward_code,ward_name,ward_registered_voters_2022,allocated_polling_centers,allocated_polling_stations,avg_voters_per_center_est,avg_voters_per_station_est
029,TRANS NZOIA,143,ENDEBESS,0711,ELDER,8793,10,19,879.3,462.79
029,TRANS NZOIA,143,ENDEBESS,0712,TARBAS,12058,14,26,861.29,463.77
029,TRANS NZOIA,143,ENDEBESS,0713,GRIFTU,11119,13,24,855.31,463.29
029,TRANS NZOIA,143,ENDEBESS,0714,HADA,27195,29,56,937.76,485.62
029,TRANS NZOIA,143,ENDEBESS,0715,ELDER,16586,18,34,921.44,487.82
029,TRANS NZOIA,144,TRANS NZOIA EAST,0716,ELDER,18599,20,38,929.95,489.45
029,TRANS NZOIA,144,TRANS NZOIA EAST,0717,TARBAS,12782,14,27,913.0,473.41
029,TRANS NZOIA,144,TRANS NZOIA EAST,0718,GRIFTU,19290,21,40,918.57,482.25
029,TRANS NZOIA,144,TRANS NZOIA EAST,0719,HADA,10464,12,22,872.0,475.64
029,TRANS NZOIA,144,TRANS NZOIA EAST,0720,ELDER,8750,10,19,875.0,460.53
029,TRANS NZOIA,145,TRANS NZOIA WEST,0721,ELDER,18566,20,38,928.3,488.58
029,TRANS NZOIA,145,TRANS NZOIA WEST,0722,TARBAS,30570,33,63,926.36,485.24
029,TRANS NZOIA,145,TRANS NZOIA WEST,0723,GRIFTU,26255,28,54,937.68,486.2
029,TRANS NZOIA,145,TRANS NZOIA WEST,0724,HADA,9026,10,19,902.6,475.05
029,TRANS NZOIA,145,TRANS NZOIA WEST,0725,ELDER,17099,19,36,899.95,474.97
029,TRANS NZOIA,146,CHERANGANY,0726,ELDER,17685,19,36,930.79,491.25
029,TRANS NZOIA,146,CHERANGANY,0727,TARBAS,16263,18,34,903.5,478.32
029,TRANS NZOIA,146,CHERANGANY,0728,GRIFTU,10466,12,22,872.17,475.73
029,TRANS NZOIA,146,CHERANGANY,0729,HADA,9589,11,20,871.73,479.45
029,TRANS NZOIA,146,CHERANGANY,0730,ELDER,29237,32,61,913.66,479.3
029,TRANS NZOIA,147,KAPSaboti,0731,ELDER,37144,40,76,928.6,488.74
029,TRANS NZOIA,147,KAPSaboti,0732,TARBAS,29548,32,61,923.38,484.39
029,TRANS NZOIA,147,KAPSaboti,0733,GRIFTU,32551,35,67,930.03,485.84
029,TRANS NZOIA,147,KAPSaboti,0734,HADA,32259,35,67,921.69,481.48
029,TRANS NZOIA,147,KAPSaboti,0735,ELDER,38927,42,80,926.83,486.59
030,BUNGOMA,148,MOUNT ELGON,0736,ELDER,28468,31,59,918.32,482.51
030,BUNGOMA,148,MOUNT ELGON,0737,TARBAS,34831,37,71,941.38,490.58
030,BUNGOMA,148,MOUNT ELGON,0738,GRIFTU,26343,29,55,908.38,478.96
030,BUNGOMA,148,MOUNT ELGON,0739,HADA,29090,31,60,938.39,484.83
030,BUNGOMA,148,MOUNT ELGON,0740,ELDER,13484,15,28,898.93,481.57
030,BUNGOMA,149,WEBUYE WEST,0741,ELDER,24892,27,51,921.93,488.08
030,BUNGOMA,149,WEBUYE WEST,0742,TARBAS,37766,40,77,944.15,490.47
030,BUNGOMA,149,WEBUYE WEST,0743,GRIFTU,19657,22,41,893.5,479.44
030,BUNGOMA,149,WEBUYE WEST,0744,HADA,19131,21,40,911.0,478.28
030,BUNGOMA,149,WEBUYE WEST,0745,ELDER,34450,37,71,931.08,485.21
030,BUNGOMA,150,WEBUYE EAST,0746,ELDER,18386,20,38,919.3,483.84
030,BUNGOMA,150,WEBUYE EAST,0747,TARBAS,37864,41,78,923.51,485.44
030,BUNGOMA,150,WEBUYE EAST,0748,GRIFTU,33149,36,68,920.81,487.49
030,BUNGOMA,150,WEBUYE EAST,0749,HADA,21800,24,45,908.33,484.44
030,BUNGOMA,150,WEBUYE EAST,0750,ELDER,24243,26,50,932.42,484.86
030,BUNGOMA,151,KANDUYI,0751,ELDER,18048,20,38,902.4,474.95
030,BUNGOMA,151,KANDUYI,0752,TARBAS,32794,35,67,936.97,489.46
030,BUNGOMA,151,KANDUYI,0753,GRIFTU,22692,25,47,907.68,482.81
030,BUNGOMA,151,KANDUYI,0754,HADA,25602,28,53,914.36,483.06
030,BUNGOMA,151,KANDUYI,0755,ELDER,20470,22,42,930.45,487.38
030,BUNGOMA,152,SIRISIA,0756,ELDER,6423,8,14,802.88,458.79
